DATE,DTB3
21/10/11,0.02
24/10/11,0.02
25/10/11,0.01
26/10/11,0.02
27/10/11,0.02
28/10/11,0.01
31/10/11,0.01
1/11/11,0.01
2/11/11,0.01
3/11/11,0.01
4/11/11,0.01
7/11/11,0.01
8/11/11,0.01
9/11/11,0.01
10/11/11,0.01
11/11/11,.
14/11/11,0.01
15/11/11,0.01
16/11/11,0.01
17/11/11,0.02
18/11/11,0.01
21/11/11,0.02
22/11/11,0.02
23/11/11,0.02
24/11/11,.
25/11/11,0.02
28/11/11,0.03
29/11/11,0.02
30/11/11,0.01
1/12/11,0.01
2/12/11,0.02
5/12/11,0.01
6/12/11,0.01
7/12/11,0.02
8/12/11,0.01
9/12/11,0.01
12/12/11,0.01
13/12/11,0.01
14/12/11,0.01
15/12/11,0
16/12/11,0
19/12/11,0.01
20/12/11,0.01
21/12/11,0.01
22/12/11,0.01
23/12/11,0.01
26/12/11,.
27/12/11,0.02
28/12/11,0.01
29/12/11,0.02
30/12/11,0.02
2/1/12,.
3/1/12,0.02
4/1/12,0.02
5/1/12,0.02
6/1/12,0.02
9/1/12,0.01
10/1/12,0.02
11/1/12,0.02
12/1/12,0.03
13/1/12,0.03
16/1/12,.
17/1/12,0.03
18/1/12,0.03
19/1/12,0.05
20/1/12,0.05
23/1/12,0.04
24/1/12,0.04
25/1/12,0.04
26/1/12,0.05
27/1/12,0.06
30/1/12,0.05
31/1/12,0.06
1/2/12,0.06
2/2/12,0.08
3/2/12,0.08
6/2/12,0.08
7/2/12,0.08
8/2/12,0.09
9/2/12,0.09
10/2/12,0.09
13/2/12,0.11
14/2/12,0.12
15/2/12,0.11
16/2/12,0.1
17/2/12,0.09
20/2/12,.
21/2/12,0.08
22/2/12,0.09
23/2/12,0.09
24/2/12,0.1
27/2/12,0.12
28/2/12,0.1
29/2/12,0.08
1/3/12,0.08
2/3/12,0.07
5/3/12,0.08
6/3/12,0.08
7/3/12,0.08
8/3/12,0.08
9/3/12,0.09
12/3/12,0.09
13/3/12,0.08
14/3/12,0.09
15/3/12,0.08
16/3/12,0.09
19/3/12,0.1
20/3/12,0.1
21/3/12,0.09
22/3/12,0.08
23/3/12,0.08
26/3/12,0.09
27/3/12,0.09
28/3/12,0.09
29/3/12,0.07
30/3/12,0.07
2/4/12,0.08
3/4/12,0.08
4/4/12,0.08
5/4/12,0.08
6/4/12,0.07
9/4/12,0.09
10/4/12,0.09
11/4/12,0.09
12/4/12,0.09
13/4/12,0.09
16/4/12,0.08
17/4/12,0.08
18/4/12,0.07
19/4/12,0.07
20/4/12,0.08
23/4/12,0.08
24/4/12,0.09
25/4/12,0.09
26/4/12,0.09
27/4/12,0.09
30/4/12,0.1
1/5/12,0.09
2/5/12,0.08
3/5/12,0.09
4/5/12,0.07
7/5/12,0.1
8/5/12,0.09
9/5/12,0.09
10/5/12,0.1
11/5/12,0.1
14/5/12,0.1
15/5/12,0.09
16/5/12,0.1
17/5/12,0.1
18/5/12,0.08
21/5/12,0.09
22/5/12,0.09
23/5/12,0.09
24/5/12,0.1
